candidate,latitude,longitude,mean_accessibility_gain,coverage_gain,neighbourhoods_improved,mean_distance_reduction_m,population_benefited,directly_reached_population,candidate_population,overall_impact_score,simulation_score,service_type,objective
el saler,39.3519159624178,-0.3173995552550035,0.5691731273049062,1,2,56.917312730490615,2115,2030,2030,46.9,46.9,social services,Reduce average distance
el palmar,39.33513789501845,-0.3515391664915657,0.5691731273049062,1,2,56.917312730490615,1002,759,759,46.3,46.3,social services,Reduce average distance
benicalap,39.49300556640789,-0.3910023886392156,0.02385853028642416,0,1,2.385853028642416,67269,56327,44570,40.0,40.0,social services,Reduce average distance
mahuella tauladella,39.544068469913306,-0.336135965967794,1.0289770020795486,1,2,102.89770020795483,9847,7152,7152,65.0,65.0,social services,Prioritise underserved neighbourhoods
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.028977002079573,1,2,102.8977002079573,8449,7152,7152,64.2,64.2,social services,Prioritise underserved neighbourhoods
el saler,39.3519159624178,-0.3173995552550035,0.5691731273049062,1,2,56.917312730490615,2115,2030,2030,46.6,46.6,social services,Prioritise underserved neighbourhoods
benicalap,39.49300556640789,-0.3910023886392156,0.02385853028642416,0,1,2.385853028642416,67269,56327,44570,40.0,40.0,social services,Prioritise underserved neighbourhoods
el perellonet,39.29640631975548,-0.2941560038366502,0.27360993916640514,1,1,27.360993916640517,1596,1596,1596,17.5,17.5,social services,Prioritise underserved neighbourhoods
mahuella tauladella,39.544068469913306,-0.336135965967794,1.0289770020795486,1,2,102.89770020795483,9847,7152,7152,64.7,64.7,social services,Balanced impact
rafalell vistabella,39.55880509431351,-0.30316934629898423,1.028977002079573,1,2,102.8977002079573,8449,7152,7152,63.9,63.9,social services,Balanced impact
el saler,39.3519159624178,-0.3173995552550035,0.5691731273049062,1,2,56.917312730490615,2115,2030,2030,46.3,46.3,social services,Balanced impact
benicalap,39.49300556640789,-0.3910023886392156,0.02385853028642416,0,1,2.385853028642416,67269,56327,44570,40.0,40.0,social services,Balanced impact
malilla,39.44475150674449,-0.3771846256258872,0.040243733903703255,0,1,4.024373390370325,45366,39550,26253,27.0,27.0,social services,Balanced impact
russafa,39.46118918337599,-0.3737073163793981,0.4353045591113418,2,9,43.53045591113418,77894,93445,25514,66.3,66.3,culture,Reach the largest population
nou moles,39.471387219530456,-0.3986202091698814,0.7450721868338199,3,9,74.50721868338199,72947,59035,27844,65.4,65.4,culture,Reach the largest population
malilla,39.44475150674449,-0.3771846256258872,1.5043917957839241,3,12,150.4391795783924,60051,39550,26253,60.0,60.0,culture,Reach the largest population
torrefiel,39.49519797034043,-0.37693215054694523,0.4996966335538166,3,6,49.96966335538166,64206,54146,27938,33.7,33.7,culture,Reach the largest population
benicalap,39.49300556640789,-0.3910023886392156,0.15048385706826137,0,3,15.048385706826137,71707,56327,44570,26.1,26.1,culture,Reach the largest population
